090713-042702,9.70,80.60
090713-042802,9.70,80.70
090713-042901,9.70,79.90
090713-043002,9.80,80.50
090713-043102,9.80,80.50
090713-043201,9.80,80.70
090713-043302,9.70,81.10
090713-043402,9.70,81.10
090713-043501,9.70,80.20
090713-043602,9.70,80.70
090713-043702,9.70,81.00
090713-043801,9.70,81.30
090713-043901,9.70,81.50
090713-044002,9.60,81.60
090713-044101,9.60,81.70
090713-044201,9.60,81.50
090713-044302,9.70,81.70
090713-044402,9.70,81.80
090713-044501,9.70,82.30
090713-044602,9.60,82.00
090713-044702,9.60,82.00
090713-044801,9.60,82.00
090713-044902,9.50,82.10
090713-045002,9.50,82.30
090713-045101,9.50,82.40
090713-045202,9.50,82.20
090713-045302,9.40,82.10
090713-045401,9.40,82.50
090713-045502,9.40,83.00
090713-045602,9.40,82.80
090713-045701,9.40,82.40
090713-045802,9.40,82.30
090713-045902,9.30,82.00
090713-050001,9.30,81.70
090713-050101,9.20,82.30
090713-050202,9.20,82.40
090713-050301,9.30,82.10
090713-050401,9.30,82.10
090713-050502,9.30,82.20
090713-050602,9.30,81.90
090713-050701,9.40,81.90
090713-050802,9.40,81.90
090713-050902,9.40,81.90
090713-051001,9.30,81.70
090713-051102,9.30,81.80
090713-051202,9.20,82.20
090713-051301,9.30,82.30
090713-051402,9.30,82.20
090713-051502,9.30,82.20
090713-051601,9.40,81.90
090713-051702,9.40,81.70
090713-051802,9.50,81.40
090713-051901,9.40,80.90
090713-052001,9.40,80.60
090713-052102,9.40,80.40
090713-052201,9.40,80.50
090713-052301,9.30,80.40
090713-052402,9.30,80.50
090713-052502,9.30,80.20
090713-052601,9.40,80.10
090713-052702,9.40,79.80
090713-052802,9.40,79.50
090713-052901,9.40,79.90
090713-053002,9.40,80.00
090713-053102,9.40,80.10
090713-053201,9.40,80.10
090713-053302,9.40,80.10
090713-053402,9.40,80.00
090713-053501,9.40,79.90
090713-053602,9.40,79.80
090713-053702,9.30,79.90
090713-053801,9.30,79.90
090713-053901,9.30,80.00
090713-054002,9.20,80.10
090713-054102,9.30,80.30
090713-054201,9.30,80.70
090713-054302,9.30,80.90
090713-054402,9.20,80.90
